term,coef,std_err,p_value
Intercept,0.35941341065625965,0.0024235599275236504,0.0
C(Region)[T.Northeast],0.025884508839172586,0.0027247003490233823,2.09997204427364e-21
C(Region)[T.South],-0.2044703282815476,0.0023235693429347003,0.0
C(Region)[T.West],-0.06157719499828748,0.0027960067188778897,1.7238797900830403e-107
EPL_MINRTY,0.3979333734551106,0.0033241295058438936,0.0
EPL_POV200,0.05951396738597374,0.0033505074281361185,1.3752664808727626e-70
