term,coef,std_err,p_value
Intercept,0.37769876428121585,0.0036287265566832664,0.0
C(Region)[T.Northeast],0.025836862513870545,0.0027253137129427418,2.53489826454132e-21
C(Region)[T.South],-0.20303074151878273,0.002342294259496905,0.0
C(Region)[T.West],-0.05966983847996986,0.0028231257266068547,3.7053648264489564e-99
EPL_MINRTY,0.35649099695210584,0.007160566982610902,0.0
EPL_POV200,0.02087261147872,0.006738248422631415,0.0019507373953819086
EPL_MINRTY:EPL_POV200,0.073963971350138,0.011328637810437291,6.623775985860712e-11
